lk_id,lk,bundesland,population,population_male,population_female,lk_movement
9278,Straubing-Bogen,Bayern,101745,51034,50711,Landkreis Straubing-Bogen
9279,Dingolfing-Landau,Bayern,97244,49742,47502,Landkreis Dingolfing-Landau
9361,Amberg,Bayern,42052,20757,21295,Amberg
9362,Regensburg (Kreisfreie Stadt),Bayern,152270,74011,78259,Regensburg
9363,Weiden in der Oberpfalz.,Bayern,42535,20584,21951,
9371,Amberg-Sulzbach,Bayern,102998,51640,51358,Landkreis Amberg-Sulzbach
9372,Cham,Bayern,128094,64292,63802,Landkreis Cham
9373,Neumarkt in der Oberpfalz,Bayern,135225,68357,66868,Landkreis Neumarkt in der Oberpfalz
9374,Neustadt an der Waldnaab,Bayern,94645,47124,47521,Landkreis Neustadt an der Waldnaab
9375,Regensburg,Bayern,194275,97228,97047,Landkreis Regensburg
9376,Schwandorf,Bayern,148477,74622,73855,Landkreis Schwandorf
9377,Tirschenreuth,Bayern,71696,35712,35984,Landkreis Tirschenreuth
9461,Bamberg,Bayern,76674,37065,39609,Bamberg
9462,Bayreuth,Bayern,74048,36200,37848,Bayreuth
9463,Coburg (Kreisfreie Stadt),Bayern,40842,19883,20959,Coburg
9464,Hof (Kreisfreie Stadt),Bayern,45173,21757,23416,Hof
9471,Bamberg (Kreisfreie Stadt),Bayern,147497,73872,73625,Landkreis Bamberg
9472,Bayreuth (Kreisfreie Stadt),Bayern,103679,51385,52294,Landkreis Bayreuth
9473,Coburg,Bayern,86571,42744,43827,Landkreis Coburg
9474,Forchheim,Bayern,116600,57924,58676,Landkreis Forchheim
9475,Hof,Bayern,94522,46316,48206,Landkreis Hof
9476,Kronach,Bayern,66355,32789,33566,Landkreis Kronach
9477,Kulmbach,Bayern,71428,35174,36254,Landkreis Kulmbach
9478,Lichtenfels,Bayern,66722,32949,33773,Landkreis Lichtenfels
9479,Wunsiedel im Fichtelgebirge,Bayern,71974,35198,36776,Landkreis Wunsiedel im Fichtelgebirge
9561,Ansbach (Kreisfreie Stadt),Bayern,41681,19999,21682,Ansbach
9562,Erlangen,Bayern,112385,55944,56441,Erlangen
9563,Fürth (Kreisfreie Stadt),Bayern,128223,62837,65386,Fürth
9564,Nürnberg,Bayern,515543,251839,263704,Nürnberg
9565,Schwabach,Bayern,41056,20173,20883,Schwabach
9571,Ansbach,Bayern,185316,93084,92232,Landkreis Ansbach
9572,Erlangen-Höchstadt,Bayern,138105,68554,69551,Landkreis Erlangen-Höchstadt
9573,Fürth,Bayern,118695,57692,61003,Landkreis Fürth
9574,Nürnberger Land,Bayern,171143,84222,86921,Landkreis Nürnberger Land
9575,Neustadt an der Aisch-Bad Windsheim,Bayern,101272,50756,50516,Landkreis Neustadt an der Aisch-Bad Windsheim
9576,Roth,Bayern,127168,63132,64036,Landkreis Roth
9577,Weißenburg-Gunzenhausen,Bayern,95117,47488,47629,Landkreis Weißenburg-Gunzenhausen
9661,Aschaffenburg (Kreisfreie Stadt),Bayern,70858,34529,36329,Aschaffenburg
9662,Schweinfurt,Bayern,53319,26185,27134,Schweinfurt
9663,Würzburg (Kreisfreie Stadt),Bayern,126954,60725,66229,Würzburg
9671,Aschaffenburg,Bayern,174658,86742,87916,Landkreis Aschaffenburg
9672,Bad Kissingen,Bayern,103169,50819,52350,Landkreis Bad Kissingen
9673,Rhön-Grabfeld,Bayern,79510,39523,39987,Landkreis Rhön-Grabfeld
9674,Haßberge,Bayern,84275,42273,42002,Landkreis Haßberge
9675,Kitzingen,Bayern,91696,46040,45656,Landkreis Kitzingen
9676,Miltenberg,Bayern,128743,64038,64705,Landkreis Miltenberg
9677,Main-Spessart,Bayern,125976,62763,63213,Landkreis Main-Spessart
9678,Schweinfurt (Kreisfreie Stadt),Bayern,115652,58087,57565,Landkreis Schweinfurt
9679,Würzburg,Bayern,162697,80908,81789,Landkreis Würzburg
9761,Augsburg (Kreisfreie Stadt),Bayern,295830,145786,150044,Augsburg
9762,Kaufbeuren,Bayern,44662,22005,22657,Kaufbeuren
9763,Kempten (Allgäu),Bayern,68940,34140,34800,Kempten (Allgäu)
9764,Memmingen,Bayern,44360,21996,22364,Memmingen
9771,Aichach-Friedberg,Bayern,135024,67349,67675,Landkreis Aichach-Friedberg
9772,Augsburg,Bayern,255900,126953,128947,Landkreis Augsburg
9773,Dillingen an der Donau,Bayern,97172,48764,48408,Landkreis Dillingen an der Donau
9774,Günzburg,Bayern,127342,64254,63088,Landkreis Günzburg
9775,Neu-Ulm,Bayern,175823,87031,88792,Landkreis Neu-Ulm
9776,Lindau (Bodensee),Bayern,82085,40472,41613,Landkreis Lindau
